Producto,Identificador,Venta,Semana,Fecha
CLUB C. 330,011,9,5,02/04/2026
CLUB DORADA,012,0,5,02/04/2026
CLUB NEGRA,013,0,5,02/04/2026
CLUB DOBLE MALTA,014,0,5,02/04/2026
REDDS 330,015,0,5,02/04/2026
AGUILA 750,016,0,5,02/04/2026
POKER 750,017,0,5,02/04/2026
LIGHT 750,018,0,5,02/04/2026
AGUILA 250X38,019,0,5,02/04/2026
POKER 250X38,020,0,5,02/04/2026
LIGTH 250X38,021,0,5,02/04/2026
CLUB 850X13,022,3,5,02/04/2026
AGUILA LITROX13,023,0,5,02/04/2026
POKER 1000X13,024,0,5,02/04/2026
AZTEKA 330X6,025,0,5,02/04/2026
AGUILA 330,026,12,5,02/04/2026
POKER 330,027,0,5,02/04/2026
LIGHT 330,028,0,5,02/04/2026
COLA LATA,029,0,5,02/04/2026
COLA POLA  1.5,030,0,5,02/04/2026
COLA Y POLA X400,031,0,5,02/04/2026
CLUB C. 330,032,0,5,02/04/2026
CLUB NEGRA 355 LTA,033,0,5,02/04/2026
CLUB AZULLTA,034,0,5,02/04/2026
REDDS 269X6,035,0,5,02/04/2026
AGUILITA 269X24,036,65,5,02/04/2026
CLUB LTA 269,037,0,5,02/04/2026
CLUB NG LTA 269,038,0,5,02/04/2026
LIGHT LTA 269,039,0,5,02/04/2026
BUDWEISER LATA,040,0,5,02/04/2026
BUW 250 BTLL,041,0,5,02/04/2026
BUDWEISER NR  315,042,0,5,02/04/2026
BUDWEISER LTA355,043,0,5,02/04/2026
BBC LA COTIDIANA,044,0,5,02/04/2026
CORONITA*6,045,230,5,02/04/2026
CORONA,046,0,5,02/04/2026
COSTEÑA BACANA LTA 269X24,047,10,5,02/04/2026
COSTEÑA BACANA 320X24,048,0,5,02/04/2026
COSTEÑA BACANA LTA330,049,0,5,02/04/2026
CORONA LATA,050,0,5,02/04/2026
PONY MINI X30,051,9,5,02/04/2026
MALTA 330,052,37,5,02/04/2026
MALTA LEONA 330,053,0,5,02/04/2026
PONY X 38,054,0,5,02/04/2026
MAL LEONA 400,055,0,5,02/04/2026
PONY PET,056,8,5,02/04/2026
PONY 1.5X 6,057,8,5,02/04/2026
PONY MINI * 24,058,0,5,02/04/2026
"MALTA LEONA 1,5",059,0,5,02/04/2026
P. LITRO X 15,060,4,5,02/04/2026
MALTA LEONA CAFÉ LATA,061,0,5,02/04/2026
ELECTROLIT,062,474,5,02/04/2026
"AGUA ZALVA 1,5",063,71,5,02/04/2026
AGUILA 330,001,"1,259",6,02/11/2026
COSTEÑA 330,002,59,6,02/11/2026
POKER 330,003,56,6,02/11/2026
POKER LIGERA,004,367,6,02/11/2026
LIGHT 330,005,117,6,02/11/2026
AGUILA LIMON,006,0,6,02/11/2026
AZTECA 330,007,0,6,02/11/2026
POKER PARA MALTA,008,0,6,02/11/2026
AGUILA CERO,009,0,6,02/11/2026
COLA POLA,010,38,6,02/11/2026
CLUB C. 330,011,13,6,02/11/2026
CLUB DORADA,012,0,6,02/11/2026
CLUB NEGRA,013,0,6,02/11/2026
CLUB DOBLE MALTA,014,0,6,02/11/2026
REDDS 330,015,0,6,02/11/2026
AGUILA 750,016,0,6,02/11/2026
POKER 750,017,0,6,02/11/2026
LIGHT 750,018,0,6,02/11/2026
AGUILA 250X38,019,0,6,02/11/2026
POKER 250X38,020,0,6,02/11/2026
LIGTH 250X38,021,0,6,02/11/2026
CLUB 850X13,022,0,6,02/11/2026
AGUILA LITROX13,023,0,6,02/11/2026
POKER 1000X13,024,3,6,02/11/2026
AZTEKA 330X6,025,2,6,02/11/2026
AGUILA 330,026,20,6,02/11/2026
POKER 330,027,0,6,02/11/2026
LIGHT 330,028,0,6,02/11/2026
COLA LATA,029,1,6,02/11/2026
COLA POLA  1.5,030,0,6,02/11/2026
COLA Y POLA X400,031,0,6,02/11/2026
CLUB C. 330,032,6,6,02/11/2026
CLUB NEGRA 355 LTA,033,0,6,02/11/2026
CLUB AZULLTA,034,0,6,02/11/2026
REDDS 269X6,035,0,6,02/11/2026
AGUILITA 269X24,036,21,6,02/11/2026
CLUB LTA 269,037,0,6,02/11/2026
CLUB NG LTA 269,038,0,6,02/11/2026
LIGHT LTA 269,039,0,6,02/11/2026
BUDWEISER LATA,040,0,6,02/11/2026
BUW 250 BTLL,041,0,6,02/11/2026
BUDWEISER NR  315,042,0,6,02/11/2026
BUDWEISER LTA355,043,0,6,02/11/2026
BBC LA COTIDIANA,044,0,6,02/11/2026
CORONITA*6,045,112,6,02/11/2026
CORONA,046,0,6,02/11/2026
COSTEÑA BACANA LTA 269X24,047,8,6,02/11/2026
COSTEÑA BACANA 320X24,048,0,6,02/11/2026
COSTEÑA BACANA LTA330,049,0,6,02/11/2026
CORONA LATA,050,0,6,02/11/2026
PONY MINI X30,051,9,6,02/11/2026
MALTA 330,052,70,6,02/11/2026
MALTA LEONA 330,053,0,6,02/11/2026
PONY X 38,054,0,6,02/11/2026
MAL LEONA 400,055,0,6,02/11/2026
PONY PET,056,5,6,02/11/2026
PONY 1.5X 6,057,6,6,02/11/2026
PONY MINI * 24,058,0,6,02/11/2026
"MALTA LEONA 1,5",059,0,6,02/11/2026
P. LITRO X 15,060,3,6,02/11/2026
MALTA LEONA CAFÉ LATA,061,0,6,02/11/2026
ELECTROLIT,062,24,6,02/11/2026
"AGUA ZALVA 1,5",063,0,6,02/11/2026
AGUILA 330,001,921,7,02/18/2026
COSTEÑA 330,002,110,7,02/18/2026
POKER 330,003,52,7,02/18/2026
POKER LIGERA,004,227,7,02/18/2026
LIGHT 330,005,198,7,02/18/2026
AGUILA LIMON,006,0,7,02/18/2026
AZTECA 330,007,0,7,02/18/2026
POKER PARA MALTA,008,0,7,02/18/2026
AGUILA CERO,009,0,7,02/18/2026
COLA POLA,010,23,7,02/18/2026
CLUB C. 330,011,8,7,02/18/2026
CLUB DORADA,012,0,7,02/18/2026
CLUB NEGRA,013,0,7,02/18/2026
CLUB DOBLE MALTA,014,0,7,02/18/2026
REDDS 330,015,0,7,02/18/2026
AGUILA 750,016,0,7,02/18/2026
POKER 750,017,0,7,02/18/2026
LIGHT 750,018,0,7,02/18/2026
AGUILA 250X38,019,0,7,02/18/2026
POKER 250X38,020,0,7,02/18/2026
LIGTH 250X38,021,0,7,02/18/2026
CLUB 850X13,022,3,7,02/18/2026
AGUILA LITROX13,023,0,7,02/18/2026
POKER 1000X13,024,1,7,02/18/2026
AZTEKA 330X6,025,0,7,02/18/2026
AGUILA 330,026,9,7,02/18/2026
POKER 330,027,0,7,02/18/2026
LIGHT 330,028,4,7,02/18/2026
COLA LATA,029,0,7,02/18/2026
COLA POLA  1.5,030,3,7,02/18/2026
COLA Y POLA X400,031,0,7,02/18/2026
CLUB C. 330,032,1,7,02/18/2026
CLUB NEGRA 355 LTA,033,0,7,02/18/2026
CLUB AZULLTA,034,0,7,02/18/2026
REDDS 269X6,035,0,7,02/18/2026
AGUILITA 269X24,036,0,7,02/18/2026
CLUB LTA 269,037,0,7,02/18/2026
CLUB NG LTA 269,038,0,7,02/18/2026
LIGHT LTA 269,039,0,7,02/18/2026
BUDWEISER LATA,040,13,7,02/18/2026
BUW 250 BTLL,041,0,7,02/18/2026
BUDWEISER NR  315,042,0,7,02/18/2026
BUDWEISER LTA355,043,0,7,02/18/2026
BBC LA COTIDIANA,044,0,7,02/18/2026
CORONITA*6,045,95,7,02/18/2026
CORONA,046,0,7,02/18/2026
COSTEÑA BACANA LTA 269X24,047,6,7,02/18/2026
COSTEÑA BACANA 320X24,048,0,7,02/18/2026
COSTEÑA BACANA LTA330,049,0,7,02/18/2026
CORONA LATA,050,0,7,02/18/2026
PONY MINI X30,051,6,7,02/18/2026
MALTA 330,052,33,7,02/18/2026
MALTA LEONA 330,053,0,7,02/18/2026
PONY X 38,054,0,7,02/18/2026
MAL LEONA 400,055,0,7,02/18/2026
PONY PET,056,0,7,02/18/2026
PONY 1.5X 6,057,5,7,02/18/2026
PONY MINI * 24,058,0,7,02/18/2026
"MALTA LEONA 1,5",059,0,7,02/18/2026
